,tweet_id_str,date_time,location,tweet_text
37,1420376010902720514,2021-07-28 13:30:04,"Nairobi, Kenya","Tanzania's President Samia Suluhu Hassan received her dose of the single-shot Johnson &amp; Johnson COVID-19 vaccine on Wednesday, July 28 as the country kicked off a mass vaccination campaign.
@SuluhuSamia
 https://t.co/2z4FnfZR7O"
38,1420376001608048645,2021-07-28 13:30:02,Nairobi,"A rare silver lining to #COVID19 : ""BioNTech using COVID jab technology to develop effective malaria vaccine"" via @SkyNews https://t.co/koe7nkib09
#Malaria https://t.co/OePKAhAFN1"
39,1420375803381047298,2021-07-28 13:29:15,"Nairobi, Kenya","Tanzania's President Samia Suluhu Hassan receives the COVID-19 vaccine

Read more:https://t.co/LBiJ211x3d https://t.co/jc3VQ9sP7t"
40,1420375317844307972,2021-07-28 13:27:19,Nairobi,"✦ [ 50 Governors ] ● News

Crossposted from /r/Coronavirus ● 50 ⬆

COVID-19: UK to give Kenya more than 800,000 doses of Oxford-AstraZeneca coronavirus vaccine

https://t.co/7P4Ubb66va"
41,1420375045755621377,2021-07-28 13:26:14,"Nairobi, Kenya","Tanzania President Samia Suluhu Hassan has received Covid19 vaccine shot as the country rolls out its national vaccination campaign. It received one million doses of the J&amp; J vaccine.
#Suluhu https://t.co/qhd6kkdcVl"
42,1420373514620702721,2021-07-28 13:20:09,"Nairobi, Kenya",Kenya’s battle against Covid-19 is set for a boost with the expected arrival of more vaccine doses over the next few days. https://t.co/VbhdUSdFse
43,1420372824179499011,2021-07-28 13:17:25,"Nairobi, Kenya","Johnson &amp; Johnson Vaccine Protects Against Delta Variant, Company Reports https://t.co/d9BsPu0JrM"
44,1420372418384777220,2021-07-28 13:15:48,"Nairobi, Kenya",Study:Pfizer's third dose of coronavirus vaccine is associated with a five-fold increase in antibodies in those aged 18-55 and an eleven-fold increase in those aged 65-
45,1420370723428782080,2021-07-28 13:09:04,"Nairobi, Kenya","The US will ship almost 10 million Covid vaccines to two of Africa’s most populous nations, with 5.6 million Pfizer doses going to South Africa and 4 million Moderna doses to Nigeria. The move comes as China raised its vaccine deliveries to Africa in July. https://t.co/ZPruJSD8tU"
46,1420368449331634180,2021-07-28 13:00:02,NAIROBI,Tanzania Embarks On Covid Vaccination Drive https://t.co/WfG8BnCHeh https://t.co/dRHDEaKfO5
47,1420367463619854339,2021-07-28 12:56:07,"Nairobi, Kenya","Pfizer sells $7.8 billion in Covid shots in the second quarter, raises 2021 guidance on vaccine sales – CNBC https://t.co/14iyEJlr0K https://t.co/IAOybte9yp"
48,1420361862978457606,2021-07-28 12:33:51,"Nairobi, Kenya","President Samia Suluhu has been given a Covid vaccine at the start of Tanzania's vaccination rollout. The move marks a break with her predecessor, John Magufuli, a prominent coronavirus sceptic.

@antoneosoul 
#NationFMDrive #NFM https://t.co/ZclpuPEsSg"
49,1420361164442198022,2021-07-28 12:31:05,"Nairobi, Kenya",The economic gap between the rich and poor countries is worsening because of the ongoing uneven rollout of Covid-19 vaccines globally   https://t.co/hcgT9GiwEW
50,1420357516484034560,2021-07-28 12:16:35,"Nairobi, Kenya","BioNTech is now auditing manufacturing sites and negotiating with potential partners in countries that have existing vaccine industries such as South Africa, Senegal, Egypt, Morocco and Tunisia. @daktari1  https://t.co/aTJHAVn3Tk"
51,1420356708149473281,2021-07-28 12:13:22,Nairobi,"Tanzanian President Samia Suluhu has been given a Covid vaccine jab at State House, Dar Es Salaam at the start of Tanzania's vaccination campaign roll-out. https://t.co/ajpQWrRV34"
52,1420356444298301442,2021-07-28 12:12:19,"Nairobi, Kenya","Kenya to receive 817,000 doses of Covid-19 vaccines from UK to boost the vaccination program, PM Boris Johnson announces. https://t.co/GnWA54rS4v"
